FireShape_FireNumber,FireShape_Year,FireShape_Spread1,FireShape_Spread2,FireShape_Spread3,FireShape_Spread4,SIZE_CLASS,FIRE_ORIGIN,GENERAL_CAUSE,FIRE_TYPE,FIRE_POSITION_ON_SLOPE,WEATHER_CONDITIONS_OVER_FIRE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_DIRECTION,WIND_SPEED,INITIAL_ACTION_BY
HWF075,2021,237.1205327,11.67644332,176.3633929,125.2132322,C,Provincial Land,Lightning,Surface,Flat,Cloudy,16,70,SW,5,Air Tanker
HWF075,2022,538.9207545,341.9703392,514.5539909,372.6621795,D,Provincial Land,Lightning,Surface,Flat,Clear,25,40,SW,4,HAC
HWF075,2023,345.8142274,176.6251223,192.1334281,169.0615237,C,Provincial Land,Lightning,Surface,Flat,Clear,28,27,SW,3,Air Tanker
HWF075,2024,185.9678903,35.47719192,131.8275556,33.20031508,B,Provincial Land,Lightning,Ground,Flat,Cloudy,25,50,NE,10,HAC
HWF076,2011,1477.316096,405.1909667,718.6951696,419.4517129,D,Provincial Land,Lightning,Surface,Flat,Cloudy,18,50,NW,10,Air Tanker
HWF076,2014,180.2175719,114.7609359,113.6298215,113.2542867,C,Provincial Land,Lightning,Surface,Flat,CB Wet,21,35,SE,15,HAC
HWF076,2015,936.5890712,640.9550445,359.7131325,783.0489225,D,Indian Reservation,Incendiary,Surface,Flat,Clear,25,27,SE,10,HAC
HWF076,2021,117.2464034,37.27314475,75.76937934,32.9315346,B,Indian Reservation,Incendiary,Surface,Flat,Clear,23.7,37,SW,17,Fire Department
HWF076,2022,256.9941675,239.1036711,220.1497706,182.2068581,C,Private Land,Agriculture Industry,Surface,Flat,Clear,28,35,S,26,HAC
HWF077,2016,258.1961113,173.8997132,233.3846025,160.7643484,C,Indian Reservation,Incendiary,Surface,Flat,Cloudy,16,57,SE,5,HAC
HWF077,2023,141.2524843,53.63665899,66.78306026,11.12061347,B,Provincial Land,Lightning,Surface,Flat,CB Wet,16,80,NE,15,HAC
HWF078,2022,948.9792425,854.440801,325.2609991,539.7333218,D,Provincial Land,Lightning,Surface,Flat,Clear,25,29,N,15,Public
HWF078,2023,584.4448204,186.310014,312.1013134,176.6731895,C,Provincial Land,Lightning,Surface,Flat,Clear,26,39,CLM,0,HAC
HWF079,2013,128.0494145,38.74102923,68.70570961,37.6370861,B,Provincial Land,Lightning,Surface,Flat,Clear,29,35,NW,10,HAC1H
HWF079,2014,333.5261034,68.70265383,195.0444036,97.93874148,C,Provincial Land,Lightning,Surface,Flat,CB Dry,22,35,N,15,HAC
HWF079,2015,929.9556411,356.0254757,864.3116124,318.5299529,D,Provincial Land,Recreation,Crown,Flat,Clear,30,22,W,10,HAC
HWF079,2022,238.5305524,104.1962461,211.4324092,83.06425379,C,Provincial Land,Lightning,Surface,Flat,Clear,26,27,N,15,FPD Staff
HWF080,2012,175.8296121,65.0651318,133.4172325,60.67141194,B,Indian Reservation,Recreation,Surface,Flat,Clear,26.7,24,SE,13,HAC
HWF080,2018,136.6381996,37.91326719,125.6402201,37.26889203,B,Indian Reservation,Incendiary,Surface,Flat,Clear,27.7,24,W,2,HAC
HWF080,2022,211.4025614,169.8683736,155.1725072,101.0748464,B,Provincial Land,Lightning,Surface,Flat,Clear,25,34,N,2,HAC
HWF081,2011,559.2932829,234.6664982,480.6397564,234.6579002,C,Provincial Land,Lightning,Surface,Flat,Cloudy,16,35,W,28,FPD Staff
HWF081,2012,86.18650814,40.11903172,72.6795389,65.1182088,B,Indian Reservation,Incendiary,Surface,Flat,Clear,28,22,NE,8,HAC
HWF081,2017,309.2085504,216.3494135,291.2178053,174.5352362,C,Provincial Land,Incendiary,Surface,Flat,Clear,28,28,SW,23,HAC
HWF081,2024,22180.761,12757.84073,17095.20173,6867.545084,E,Provincial Park,Lightning,Crown,Flat,CB Dry,18,50,N,15,FPD Staff
HWF082,2006,215.4280186,72.46983292,178.2302612,95.98366939,C,Provincial Land,Lightning,Surface,Flat,Cloudy,21,60,SE,5,Air Tanker
HWF082,2013,199.2767426,49.12999588,101.6386203,95.32004215,B,Provincial Land,Incendiary,Surface,Flat,Clear,28,48,NE,3,HAC
HWF082,2015,121.0174112,44.29464579,78.94056977,35.64714253,B,Indian Reservation,Resident,Surface,Flat,Clear,25,20,E,10,FPD Staff
HWF082,2019,267.2987624,116.0715493,159.2552093,123.5619186,B,Provincial Land,Lightning,Surface,Flat,Clear,26,35,SE,5,HAC
HWF083,2007,1342.022114,394.466612,739.9706416,365.5586822,D,Provincial Land,Lightning,Surface,Flat,Clear,20,35,S,25,HAC1H
HWF083,2011,115.0973552,43.21981538,100.3083129,63.47066922,B,Provincial Land,Lightning,Surface,Flat,Clear,24,46,SW,10,HAC1H
HWF083,2013,139.3360533,17.23875918,102.1556986,37.04513838,B,Provincial Land,Incendiary,Surface,Flat,Clear,27,47,NE,2,HAC
HWF083,2017,512.5563728,137.455552,278.1168782,280.8519549,C,Indian Reservation,Incendiary,Surface,Flat,Clear,20,33,E,10,HAC
HWF083,2019,97.96076773,87.05229702,53.51588971,87.68342111,B,Provincial Land,Lightning,Surface,Flat,Clear,30,30,S,5,Air Tanker
HWF083,2022,375.2267677,161.3917723,273.6677461,133.855276,C,Private Land,Agriculture Industry,Surface,Flat,Clear,31,28,W,5,Land Owner
HWF083,2023,12579.30302,7219.686395,5651.756359,8324.936729,E,Provincial Land,Lightning,Surface,Flat,Clear,30,18,W,20,HAC
HWF083,2024,16579.07062,5696.456182,15281.56711,6015.385792,E,Provincial Park,Lightning,Surface,Flat,Cloudy,18,50,N,15,FPD Staff
HWF084,2006,95.88726703,83.18495861,34.27405957,81.20696784,B,Indian Reservation,Resident,Surface,Flat,Clear,17,37,SE,15,HAC1H
HWF084,2013,339.8973222,145.7990805,217.8080097,65.90145518,C,Provincial Land,Lightning,Crown,Flat,Clear,25,37,W,15,HAC1H
HWF085,2011,334.5186283,147.0279734,266.2615082,112.7289148,C,Provincial Land,Lightning,Crown,Bottom,Clear,22,34,SW,25,Air Tanker
HWF085,2012,3074.621914,400.2850916,2245.051078,795.8900685,E,Provincial Land,Lightning,Crown,Flat,CB Dry,28,32,SW,10,HAC1H
HWF085,2019,152.2735492,68.12135549,136.8436769,64.1272201,C,Provincial Land,Oil & Gas Industry,Crown,Flat,Clear,26,25,SW,5,HAC
HWF085,2024,105.8294164,36.52976735,63.03747312,41.82778109,B,Provincial Land,Lightning,Surface,Flat,Cloudy,21,30,CLM,0,HAC
HWF085,2025,1017.192055,517.6114362,709.0259988,460.9290241,D,Provincial Land,Lightning,Surface,Flat,Clear,22,29,SW,10,HAC
HWF086,2008,174.353712,62.57956234,156.4566221,51.79271734,B,Provincial Land,Lightning,Surface,Flat,Clear,23,40,SW,15,Air Tanker
